ID,Time,URL,Back,Forward,Dash,Speed,EndPoint,Category,Channel,Duration
SP1A_210812_016d2x,2024-04-16 00:30:28_871663,https://m.youtube.com/watch?v=jlDhKk9x8zo,[],[],[],"[[1, 0]]",299.081,Film & Animation,쪼아무비,300
SP1A_210812_016d2x,2024-04-16 00:32:16_525458,https://m.youtube.com/watch?v=mIxrcXrrxAI,[],[],[],"[[1, 0]]",0.56474,Education,DMT PARK,2032
SP1A_210812_016d2x,2024-04-16 00:33:31_107987,https://m.youtube.com/watch?v=hTWKbfoikeg,[],"[21.521237,31.473984]","[[7.740894,21.521237]]","[[1, 0]]",35.246028,Music,NirvanaVEVO,279
SP1A_210812_016d2x,2024-04-16 00:35:25_110862,https://m.youtube.com/watch?v=Q8IntKW4sKA,[],[],[],"[[1, 0]]",106.085257,Film & Animation,Flashback FM,265
SP1A_210812_016d2x,2024-04-16 00:38:48_448206,https://m.youtube.com/watch?v=poLPKdc-zTY,[],[],[],"[[1, 0.160299]]",199.461488,Film & Animation,Flashback FM,294
SP1A_210812_016d2x,2024-04-16 00:38:50_172660,https://m.youtube.com/watch?v=Q8IntKW4sKA,[],[],[],"[[1, 0.116823]]",0.435011,Film & Animation,Flashback FM,265
SP1A_210812_016d2x,2024-04-16 00:46:14_121470,https://m.youtube.com/watch?v=RsBOCPRkrtE,[],[],[],"[[1, 0]]",378.359256,Travel & Events,EBSDocumentary (EBS 다큐),1865
SP1A_210812_016d2x,2024-04-16 03:08:09_728484,https://m.youtube.com/watch?v=8OFGaDQew_E,[16.063339],[26.151697],[],"[[1, 0]]",26.601,Entertainment,스까보까,27
SP1A_210812_016d2x,2024-04-16 03:18:37_886350,https://m.youtube.com/watch?v=ImS8ae3m1ek,[],[12.041404],[],"[[1, 0], [null, null], [1, 0], [2, 76.632313]]",1130.268035,Gaming,흑운장TV [BLACKTUBE],1147
SP1A_210812_016d2x,2024-04-16 03:18:39_411693,https://m.youtube.com/watch?v=8OFGaDQew_E,[],[],[],"[[2, 0.93101], [2, 0.957063]]",0.918972,Entertainment,스까보까,27
SP1A_210812_016d2x,2024-04-16 03:19:11_297463,https://m.youtube.com/watch?v=n1CLlP-SR-g,[],"[24.082085,33.816928,43.973327,53.951355,63.816928,74.151619]",[],"[[1, 0]]",74.012845,People & Blogs,슈요없는공급,95
SP1A_210812_016d2x,2024-04-16 10:58:42_217100,https://m.youtube.com/watch?v=VJFKiiPYSpY,[5.116077],[12.254558],[],"[[1, 0]]",473.724778,People & Blogs,뻑가 PPKKa,489
SP1A_210812_016d2x,2024-04-16 11:02:39_101580,https://m.youtube.com/watch?v=fFCzgq0hLpA,[],[],[],"[[1, 0]]",161.477917,News & Politics,채널A 뉴스,218
SP1A_210812_016d2x,2024-04-16 12:17:36_199355,https://m.youtube.com/watch?v=oJ2uaVB9gNs,[0.73266],[10.385286],[],"[[1, 0]]",130.095655,News & Politics,SBS 뉴스,134
SP1A_210812_016d2x,2024-04-16 21:08:24_891874,https://m.youtube.com/watch?v=26a-mEWF6Mw,"[191.304311,181.031791,310.189321,443.813228,347.913223]","[358.479713,380.867958,414.400904,426.569693,437.622981]",[],"[[1, 0]]",523.781,Sports,피트웨어 제이 [Fun한 헬창 라이프],524
SP1A_210812_016d2x,2024-04-16 21:08:37_354643,https://m.youtube.com/watch?v=eXu7Yj6j7CE,[],[],[],"[[1, 0]]",0.621516,Nonprofits & Activism,충주시,14
SP1A_210812_016d2x,2024-04-16 21:10:56_628674,https://m.youtube.com/watch?v=xd_pyduWFZM,[],[],[],"[[1, 0]]",3.379498,People & Blogs,soul jeon,13
SP1A_210812_016d2x,2024-04-16 21:11:32_980936,https://m.youtube.com/watch?v=_buwjp1ogAQ,[],[340.099432],[],"[[1, 0]]",348.099436,Sports,습관의힘제이건,563
SP1A_210812_016d2x,2024-04-16 21:14:04_074004,https://m.youtube.com/watch?v=DHa_jeunlMo,[],[78.406509],[],"[[1, 0]]",146.032337,Film & Animation,방구석범인,175
SP1A_210812_016d2x,2024-04-16 21:15:11_178182,https://m.youtube.com/watch?v=xMdQ34QNXag,[0.515738],[],[],"[[1, 0]]",2.519024,Sports,팔씨름달인 홍지승,334
SP1A_210812_016d2x,2024-04-17 13:32:08_775444,https://m.youtube.com/watch?v=GR4sk40b2tI&t=200s,[],[],[],"[[null, null], [1, 0]]",0,People & Blogs,사우스 코리안 파크 South Korean Park,684
SP1A_210812_016d2x,2024-04-17 21:10:30_623675,https://m.youtube.com/watch?v=lgEwnBZsqlI,"[0,2.058985]","[10.072738,21.815276]",[],"[[1, 0]]",74.905571,News & Politics,SBS 뉴스,92
SP1A_210812_016d2x,2024-04-17 21:10:42_321794,https://m.youtube.com/watch?v=df-SUWnVg0M,[],[],[],"[[1, 0]]",3.198819,News & Politics,KBS News,95
SP1A_210812_016d2x,2024-04-17 21:10:53_432807,https://m.youtube.com/watch?v=9oIIVwxrtBI,[],[],[],"[[1, 0]]",0.56468,Science & Technology,UNDERkg,663
SP1A_210812_016d2x,2024-04-17 21:11:34_304587,https://m.youtube.com/watch?v=R9OHn5ZF4Uo,[],"[12.64793,32.30175,317.461876]",[],"[[1, 0]]",319.282221,Education,CGP Grey,535
